Gene_Name	other_name	Gene_Pos	Chr	Genome_Pos	Strand	chr_pos	Reference	Heat	Enzyme
YKL195W	MIA40	732	chrXI	76551	+	chrXI_76551	Schwartz 2014	Yes	None
YLR056W	ERG3	187	chrXII	254046	+	chrXII_254046	Schwartz 2014	Yes	None
YLR056W	ERG3	699	chrXII	254558	+	chrXII_254558	Schwartz 2014	Yes	None
YLR167W	RPS31	364	chrXII	499309	+	chrXII_499309	Schwartz 2014	Yes	None
YLR248W	RCK2	1532	chrXII	635782	+	chrXII_635782	Schwartz 2014	Yes	None
YLR249W	YEF3	1297	chrXII	638075	+	chrXII_638075	Schwartz 2014	Yes	None
YLR249W	YEF3	1301	chrXII	638079	+	chrXII_638079	Schwartz 2014	Yes	None
YLR256W-A	YLR256W-A	977	chrXII	652092	+	chrXII_652092	Schwartz 2014	Yes	None
YLL026W	HSP104	1095	chrXII	89716	+	chrXII_89716	Schwartz 2014	Yes	None
YML131W	YML131W	645	chrXIII	10841	+	chrXIII_10841	Schwartz 2014	Yes	None
YML028W	TSA1	514	chrXIII	220650	+	chrXIII_220650	Schwartz 2014	Yes	None
YML012W	ERV25	103	chrXIII	246217	+	chrXIII_246217	Schwartz 2014	Yes	None
YML012W	ERV25	364	chrXIII	246478	+	chrXIII_246478	Schwartz 2014	Yes	None
YMR083W	ADH3	297	chrXIII	435083	+	chrXIII_435083	Schwartz 2014	Yes	None
YML100W	TSL1	1959	chrXIII	72581	+	chrXIII_72581	Schwartz 2014	Yes	None
YML100W	TSL1	2826	chrXIII	73448	+	chrXIII_73448	Schwartz 2014	Yes	None
YMR264W	CUE1	117	chrXIII	795920	+	chrXIII_795920	Schwartz 2014	Yes	None
YMR297W	PRC1	1054	chrXIII	862974	+	chrXIII_862974	Schwartz 2014	Yes	None
YMR307W	GAS1	1195	chrXIII	888196	+	chrXIII_888196	Schwartz 2014	Yes	None
YMR307W	GAS1	1218	chrXIII	888219	+	chrXIII_888219	Schwartz 2014	Yes	None
YMR307W	GAS1	1336	chrXIII	888337	+	chrXIII_888337	Schwartz 2014	Yes	None
YMR315W	YMR315W	444	chrXIII	903242	+	chrXIII_903242	Schwartz 2014	Yes	None
YNL209W	SSB2	1096	chrXIV	253153	+	chrXIV_253153	Schwartz 2014	Yes	None
YNL208W	YNL208W	150	chrXIV	254566	+	chrXIV_254566	Schwartz 2014	Yes	None
YNL327W	EGT2	2616	chrXIV	26662	+	chrXIV_26662	Schwartz 2014	Yes	None
YNL327W	EGT2	2964	chrXIV	27010	+	chrXIV_27010	Schwartz 2014	Yes	None
YNL162W	RPL42A	107	chrXIV	331939	+	chrXIV_331939	Schwartz 2014	Yes	None
YNL160W	YGP1	234	chrXIV	336777	+	chrXIV_336777	Schwartz 2014	Yes	None
YNL155W	YNL155W	64	chrXIV	342578	+	chrXIV_342578	Schwartz 2014	Yes	None
YNL070W	TOM7	81	chrXIV	493445	+	chrXIV_493445	Schwartz 2014	Yes	None
YOL103W-B	YOL103W-B	2365	chrXV	120364	+	chrXV_120364	Schwartz 2014	Yes	None
YOL038W	PRE6	126	chrXV	255461	+	chrXV_255461	Schwartz 2014	Yes	None
YOL032W	OPI10	324	chrXV	265751	+	chrXV_265751	Schwartz 2014	Yes	None
YOR099W	KTR1	919	chrXV	512742	+	chrXV_512742	Schwartz 2014	Yes	None
YOR153W	PDR5	1594	chrXV	621432	+	chrXV_621432	Schwartz 2014	Yes	None
YOR153W	PDR5	4357	chrXV	624195	+	chrXV_624195	Schwartz 2014	Yes	None
YOR210W	RPB10	139	chrXV	738457	+	chrXV_738457	Schwartz 2014	Yes	None
YOR220W	RCN2	735	chrXV	756061	+	chrXV_756061	Schwartz 2014	Yes	None
YOR227W	HER1	3528	chrXV	766351	+	chrXV_766351	Schwartz 2014	Yes	None
YOR232W	MGE1	447	chrXV	775018	+	chrXV_775018	Schwartz 2014	Yes	None
YOR257W	CDC31	252	chrXV	811258	+	chrXV_811258	Schwartz 2014	Yes	None
YPL237W	SUI3	279	chrXVI	100773	+	chrXVI_100773	Schwartz 2014	Yes	None
YPL237W	SUI3	778	chrXVI	101272	+	chrXVI_101272	Schwartz 2014	Yes	None
YPL271W	ATP15	5	chrXVI	30082	+	chrXVI_30082	Schwartz 2014	Yes	None
YPL118W	MRP51	678	chrXVI	327304	+	chrXVI_327304	Schwartz 2014	Yes	None
YPL087W	YDC1	516	chrXVI	383969	+	chrXVI_383969	Schwartz 2014	Yes	None
YPL079W	RPL21B	304	chrXVI	407359	+	chrXVI_407359	Schwartz 2014	Yes	None
YPR103W	PRE2	205	chrXVI	732552	+	chrXVI_732552	Schwartz 2014	Yes	None
YPR103W	PRE2	415	chrXVI	732762	+	chrXVI_732762	Schwartz 2014	Yes	None
YPR125W	YLH47	939	chrXVI	788898	+	chrXVI_788898	Schwartz 2014	Yes	None
YPR149W	NCE102	352	chrXVI	830268	+	chrXVI_830268	Schwartz 2014	Yes	None
YPR165W	RHO1	144	chrXVI	875510	+	chrXVI_875510	Schwartz 2014	Yes	None
YPR165W	RHO1	174	chrXVI	875540	+	chrXVI_875540	Schwartz 2014	Yes	None
YPR165W	RHO1	456	chrXVI	875822	+	chrXVI_875822	Schwartz 2014	Yes	None
YPR182W	SMX3	81	chrXVI	900273	+	chrXVI_900273	Schwartz 2014	Yes	None
YPR183W	DPM1	544	chrXVI	901297	+	chrXVI_901297	Schwartz 2014	Yes	None
YBR014C	GRX7	439	chrII	266899	-	chrII_266899	Schwartz 2014	No	Cbf5
YCL030C	HIS4	1294	chrIII	67041	-	chrIII_67041	Schwartz 2014	No	Cbf5
YDL171C	GLT1	5434	chrIV	150208	-	chrIV_150208	Schwartz 2014	No	Cbf5
YDL134C	PPH21	691	chrIV	220082	-	chrIV_220082	Schwartz 2014	No	Cbf5
YJL008C	CCT8	1165	chrX	420500	-	chrX_420500	Schwartz 2014	No	Cbf5
YJR056C	YJR056C	209	chrX	542295	-	chrX_542295	Schwartz 2014	No	Cbf5
YKR048C	NAP1	598	chrXI	526044	-	chrXI_526044	Schwartz 2014	No	Cbf5
YMR170C	ALD2	212	chrXIII	602872	-	chrXIII_602872	Schwartz 2014	No	Cbf5
YNR036C	MRPS12	198	chrXIV	694626	-	chrXIV_694626	Schwartz 2014	No	Cbf5
YOL005C	RPB11	126	chrXV	316051	-	chrXV_316051	Schwartz 2014	No	Cbf5
YPR015C	YPR015C	531	chrXVI	590497	-	chrXVI_590497	Schwartz 2014	No	Cbf5
YPR166C	MRP2	122	chrXVI	876509	-	chrXVI_876509	Schwartz 2014	No	Cbf5
YCL052C	PBN1	1075	chrIII	34320	-	chrIII_34320	Schwartz 2014	No	Cbf5
YDR486C	VPS60	39	chrIV	1428082	-	chrIV_1428082	Carlile 2014	No	Pus1
YDL234C	GYP7	-58	chrIV	36535	-	chrIV_36535	Carlile 2014	No	Pus1
YDR155C	CPR1	51	chrIV	768950	-	chrIV_768950	Carlile 2014	No	Pus1
YIL094C	LYS12	99	chrIX	187534	-	chrIX_187534	Carlile 2014	No	Pus1
YEL046C	GLY1	1074	chrV	67719	-	chrV_67719	Carlile 2014	No	Pus1
YGL188C-A	YGL188C-A	105	chrVII	148860	-	chrVII_148860	Carlile 2014	No	Pus1
YGL129C	RSM23	1360	chrVII	267716	-	chrVII_267716	Carlile 2014	No	Pus1
YGR067C	YGR067C	332	chrVII	624455	-	chrVII_624455	Carlile 2014	No	Pus1
YGR085C	RPL11B	68	chrVII	648840	-	chrVII_648840	Carlile 2014	No	Pus1
YGR147C	NAT2	126	chrVII	786795	-	chrVII_786795	Carlile 2014	No	Pus1
YJL130C	URA2	-180	chrX	172548	-	chrX_172548	Carlile 2014	No	Pus1
YKL213C	DOA1	1808	chrXI	32300	-	chrXI_32300	Carlile 2014	No	Pus1
YMR008C	PLB1	1653	chrXIII	280932	-	chrXIII_280932	Carlile 2014	No	Pus1
YNL194C	YNL194C	626	chrXIV	272990	-	chrXIV_272990	Carlile 2014	No	Pus1
YOR375C	GDH1	1133	chrXV	1041910	-	chrXV_1041910	Carlile 2014	No	Pus1
YPL240C	HSP82	72	chrXVI	98554	-	chrXVI_98554	Carlile 2014	No	Pus1
YCR021C	HSP30	914	chrIII	156194	-	chrIII_156194	Carlile 2014,Schwartz 2014	No	Pus1
YER010C	YER010C	39	chrV	173300	-	chrV_173300	Carlile 2014,Schwartz 2014	No	Pus1
YPR102C	RPL11A	68	chrXVI	731681	-	chrXVI_731681	Carlile 2014,Schwartz 2014	No	Pus1
YAL007C	ERP2	-12	chrI	138357	-	chrI_138357	Carlile 2014	No	Pus2
YDL235C	YPD1	-68	chrIV	33986	-	chrIV_33986	Carlile 2014	No	Pus2
YFL018C	LPD1	500	chrVI	102628	-	chrVI_102628	Carlile 2014	No	Pus2
YLR028C	ADE16	55	chrXII	201261	-	chrXII_201261	Carlile 2014	No	Pus2
YOL018C	TLG2	291	chrXV	291784	-	chrXV_291784	Carlile 2014	No	Pus2
YPL244C	HUT1	137	chrXVI	87897	-	chrXVI_87897	Carlile 2014	No	Pus2
YIL155C	GUT2	1314	chrIX	52395	-	chrIX_52395	Carlile 2014,Schwartz 2014	No	Pus2
YHR027C	RPN1	-22	chrVIII	164733	-	chrVIII_164733	Carlile 2014	No	Pus2,3?
YPL137C	GIP3	-285	chrXVI	296932	-	chrXVI_296932	Carlile 2014	No	Pus2,3?
YLR387C	REH1	218	chrXII	897455	-	chrXII_897455	Carlile 2014	No	Pus2,4,5,6?
YKL091C	YKL091C	508	chrXI	270143	-	chrXI_270143	Carlile 2014	No	Pus2,4,9?
YER093C	TSC11	4281	chrV	343332	-	chrV_343332	Carlile 2014	No	Pus2,6?
YBR222C	PCS60	837	chrII	667515	-	chrII_667515	Carlile 2014	No	Pus3
YDR090C	YDR090C	-71	chrIV	626069	-	chrIV_626069	Carlile 2014	No	Pus3
YEL002C	WBP1	1075	chrV	148940	-	chrV_148940	Carlile 2014	No	Pus3
YGL003C	CDH1	1702	chrVII	492473	-	chrVII_492473	Carlile 2014	No	Pus3
YGR207C	CIR1	273	chrVII	911356	-	chrVII_911356	Carlile 2014	No	Pus3
YJL044C	GYP6	27	chrX	359650	-	chrX_359650	Carlile 2014	No	Pus3
YJL196C	ELO1	455	chrX	68328	-	chrX_68328	Carlile 2014	No	Pus3
YKR046C	PET10	98	chrXI	524977	-	chrXI_524977	Carlile 2014	No	Pus3
YMR272C	SCS7	623	chrXIII	810155	-	chrXIII_810155	Carlile 2014	No	Pus3
YGR189C	CRH1	596	chrVII	877597	-	chrVII_877597	Carlile 2014	No	Pus3,9?
YML103C	NUP188	4970	chrXIII	62580	-	chrXIII_62580	Carlile 2014	No	Pus4
YOR362C	PRE10	241	chrXV	1018506	-	chrXV_1018506	Carlile 2014	No	Pus4
YGR067C	YGR067C	1736	chrVII	623051	-	chrVII_623051	Carlile 2014,Schwartz 2014	No	Pus4
YJL066C	MPM1	709	chrX	314164	-	chrX_314164	Carlile 2014,Schwartz 2014	No	Pus4
YPR006C	ICL2	562	chrXVI	568435	-	chrXVI_568435	Carlile 2014,Schwartz 2014	No	Pus4
YGL018C	JAC1	487	chrVII	459178	-	chrVII_459178	Carlile 2014	No	Pus6
YOL139C	CDC33	286	chrXV	60739	-	chrXV_60739	Carlile 2014	No	Pus6
YPR137C-B	YPR137C-B	3393	chrXVI	806877	-	chrXVI_806877	Schwartz 2014	No	Pus6
YBR036C	CSG2	32	chrII	310282	-	chrII_310282	Carlile 2014	No	Pus7
YBR122C	MRPL36	167	chrII	484337	-	chrII_484337	Carlile 2014	No	Pus7
YBR302C	COS2	35	chrII	811445	-	chrII_811445	Carlile 2014	No	Pus7
YCL026C-B	HBN1	281	chrIII	73706	-	chrIII_73706	Carlile 2014	No	Pus7
YDR497C	ITR1	80	chrIV	1445388	-	chrIV_1445388	Carlile 2014	No	Pus7
YJR161C	COS5	35	chrX	743965	-	chrX_743965	Carlile 2014	No	Pus7
YKL103C	APE1	206	chrXI	247477	-	chrXI_247477	Carlile 2014	No	Pus7
YMR062C	ARG7	287	chrXIII	396093	-	chrXIII_396093	Carlile 2014	No	Pus7
YMR308C	PSE1	3095	chrXIII	889127	-	chrXIII_889127	Carlile 2014	No	Pus7
YNR036C	MRPS12	194	chrXIV	694629	-	chrXIV_694629	Carlile 2014	No	Pus7
YPR176C	BET2	482	chrXVI	891597	-	chrXVI_891597	Carlile 2014	No	Pus7
YJR016C	ILV3	594	chrX	465615	-	chrX_465615	Carlile 2014	No	Pus9
YAR007C	RFA1	1034	chrI	157586	-	chrI_157586	Carlile 2014	No	None
YAL044C	GCV3	504	chrI	57959	-	chrI_57959	Carlile 2014	No	None
YBL042C	FUI1	236	chrII	140025	-	chrII_140025	Carlile 2014	No	None
YBR086C	IST2	158	chrII	422884	-	chrII_422884	Carlile 2014	No	None
YBR086C	IST2	117	chrII	422925	-	chrII_422925	Carlile 2014	No	None
YBR095C	RXT2	1131	chrII	434568	-	chrII_434568	Carlile 2014	No	None
YBR229C	ROT2	2793	chrII	676429	-	chrII_676429	Carlile 2014	No	None
YCL002C	YCL002C	420	chrIII	111180	-	chrIII_111180	Carlile 2014	No	None
YCR017C	CWH43	768	chrIII	146867	-	chrIII_146867	Carlile 2014	No	None
YCR017C	CWH43	155	chrIII	147480	-	chrIII_147480	Carlile 2014	No	None
YDR341C	YDR341C	47	chrIV	1153580	-	chrIV_1153580	Carlile 2014	No	None
YDR429C	TIF35	475	chrIV	1324827	-	chrIV_1324827	Carlile 2014	No	None
YDL174C	DLD1	1724	chrIV	145866	-	chrIV_145866	Carlile 2014	No	None
YDL142C	CRD1	524	chrIV	202047	-	chrIV_202047	Carlile 2014	No	None
YDL125C	HNT1	248	chrIV	239469	-	chrIV_239469	Carlile 2014	No	None
YDL125C	HNT1	-87	chrIV	239694	-	chrIV_239694	Carlile 2014	No	None
YDR016C	DAD1	229	chrIV	478530	-	chrIV_478530	Carlile 2014	No	None
YDR071C	PAA1	323	chrIV	589080	-	chrIV_589080	Carlile 2014	No	None
YDL215C	GDH2	1338	chrIV	72581	-	chrIV_72581	Carlile 2014	No	None
YDR236C	FMN1	202	chrIV	935691	-	chrIV_935691	Carlile 2014	No	None
YDR258C	HSP78	2156	chrIV	972088	-	chrIV_972088	Carlile 2014	No	None
YER008C	SEC3	3926	chrV	167893	-	chrV_167893	Carlile 2014	No	None
YER026C	CHO1	303	chrV	208172	-	chrV_208172	Carlile 2014	No	None
YER175C	TMT1	24	chrV	540340	-	chrV_540340	Carlile 2014	No	None
YFL044C	OTU1	92	chrVI	45469	-	chrVI_45469	Carlile 2014	No	None
YGL161C	YIP5	25	chrVII	200118	-	chrVII_200118	Carlile 2014	No	None
YGR001C	AML1	272	chrVII	497701	-	chrVII_497701	Carlile 2014	No	None
YGR130C	YGR130C	2406	chrVII	751439	-	chrVII_751439	Carlile 2014	No	None
YGR161C	RTS3	239	chrVII	809182	-	chrVII_809182	Carlile 2014	No	None
YGR161C-D		4935	chrVII	818080	-	chrVII_818080	Carlile 2014	No	None
YJL094C	KHA1	1841	chrX	252602	-	chrX_252602	Carlile 2014	No	None
YJL044C	GYP6	96	chrX	359581	-	chrX_359581	Carlile 2014	No	None
YJL023C	PET130	751	chrX	397648	-	chrX_397648	Carlile 2014	No	None
YKL029C	MAE1	2008	chrXI	382718	-	chrXI_382718	Carlile 2014	No	None
YKR005C	YKR005C	1571	chrXI	448528	-	chrXI_448528	Carlile 2014	No	None
YKL196C	YKT6	621	chrXI	74914	-	chrXI_74914	Carlile 2014	No	None
YLR447C	VMA6	977	chrXII	1026917	-	chrXII_1026917	Carlile 2014	No	None
YLR058C	SHM2	-64	chrXII	259465	-	chrXII_259465	Carlile 2014	No	None
YLR097C	HRT3	2	chrXII	337264	-	chrXII_337264	Carlile 2014	No	None
YLR121C	YPS3	60	chrXII	390211	-	chrXII_390211	Carlile 2014	No	None
YLR172C	DPH5	676	chrXII	501487	-	chrXII_501487	Carlile 2014	No	None
YLR209C	PNP1	961	chrXII	560772	-	chrXII_560772	Carlile 2014	No	None
YLR259C	HSP60	727	chrXII	664276	-	chrXII_664276	Carlile 2014	No	None
YLR304C	ACO1	1077	chrXII	736472	-	chrXII_736472	Carlile 2014	No	None
YML130C	ERO1	120	chrXIII	13055	-	chrXIII_13055	Carlile 2014	No	None
YML123C	PHO84	107	chrXIII	25694	-	chrXIII_25694	Carlile 2014	No	None
YML004C	GLO1	145	chrXIII	262541	-	chrXIII_262541	Carlile 2014	No	None
YMR008C	PLB1	148	chrXIII	282437	-	chrXIII_282437	Carlile 2014	No	None
YMR045C		4935	chrXIII	357692	-	chrXIII_357692	Carlile 2014	No	None
YNR050C	LYS9	106	chrXIV	715283	-	chrXIV_715283	Carlile 2014	No	None
YOL052C-A	DDR2	66	chrXV	231690	-	chrXV_231690	Carlile 2014	No	None
YOL016C	CMK2	80	chrXV	296041	-	chrXV_296041	Carlile 2014	No	None
YOR122C	PFY1	86	chrXV	552593	-	chrXV_552593	Carlile 2014	No	None
YOR138C	RUP1	116	chrXV	586209	-	chrXV_586209	Carlile 2014	No	None
YOR228C	MCP1	-5	chrXV	767782	-	chrXV_767782	Carlile 2014	No	None
YOR293C-A	YOR293C-A	-23	chrXV	868170	-	chrXV_868170	Carlile 2014	No	None
YOL120C	RPL18A	242	chrXV	93714	-	chrXV_93714	Carlile 2014	No	None
YOL120C	RPL18A	185	chrXV	93771	-	chrXV_93771	Carlile 2014	No	None
YPL206C	PGC1	688	chrXVI	162910	-	chrXVI_162910	Carlile 2014	No	None
YPL058C	PDR12	5018	chrXVI	445360	-	chrXVI_445360	Carlile 2014	No	None
YPL017C	IRC15	89	chrXVI	520145	-	chrXVI_520145	Carlile 2014	No	None
YPR037C	ERV2	335	chrXVI	646704	-	chrXVI_646704	Carlile 2014	No	None
YPL242C	IQG1	4367	chrXVI	90743	-	chrXVI_90743	Carlile 2014	No	None
YAL039C	CYC3	498	chrI	69029	-	chrI_69029	Schwartz 2014	No	None
YBL042C	FUI1	1783	chrII	138479	-	chrII_138479	Schwartz 2014	No	None
YBR036C	CSG2	186	chrII	310129	-	chrII_310129	Schwartz 2014	No	None
YBR116C	YBR116C	442	chrII	474286	-	chrII_474286	Schwartz 2014	No	None
YBR140C	IRA1	9051	chrII	517579	-	chrII_517579	Schwartz 2014	No	None
YBR173C	UMP1	64	chrII	582110	-	chrII_582110	Schwartz 2014	No	None
YBL087C	RPL23A	44	chrII	60193	-	chrII_60193	Schwartz 2014	No	None
YBR255C-A	YBR255C-A	202	chrII	726780	-	chrII_726780	Schwartz 2014	No	None
YBL075C	SSA3	1180	chrII	85270	-	chrII_85270	Schwartz 2014	No	None
YBL075C	SSA3	442	chrII	86008	-	chrII_86008	Schwartz 2014	No	None
YCR011C	ADP1	2550	chrIII	134325	-	chrIII_134325	Schwartz 2014	No	None
YCR017C	CWH43	2282	chrIII	145354	-	chrIII_145354	Schwartz 2014	No	None
YCR024C-B	YCR024C-B	258	chrIII	162609	-	chrIII_162609	Schwartz 2014	No	None
YCR028C-A	RIM1	247	chrIII	173112	-	chrIII_173112	Schwartz 2014	No	None
YDR306C	YDR306C	756	chrIV	1074417	-	chrIV_1074417	Schwartz 2014	No	None
YDR454C	GUK1	502	chrIV	1366327	-	chrIV_1366327	Schwartz 2014	No	None
YDR481C	PHO8	1099	chrIV	1419153	-	chrIV_1419153	Schwartz 2014	No	None
YDR497C	ITR1	748	chrIV	1444721	-	chrIV_1444721	Schwartz 2014	No	None
YDL134C	PPH21	337	chrIV	220436	-	chrIV_220436	Schwartz 2014	No	None
YDR090C	YDR090C	454	chrIV	625546	-	chrIV_625546	Schwartz 2014	No	None
YDR111C	ALT2	338	chrIV	679428	-	chrIV_679428	Schwartz 2014	No	None
YDR258C	HSP78	118	chrIV	974127	-	chrIV_974127	Schwartz 2014	No	None
YIL172C	IMA3	1613	chrIX	16942	-	chrIX_16942	Schwartz 2014	No	None
YIL052C	RPL34B	148	chrIX	256445	-	chrIX_256445	Schwartz 2014	No	None
YIL033C	BCY1	1203	chrIX	290468	-	chrIX_290468	Schwartz 2014	No	None
YIL157C	COA1	246	chrIX	47298	-	chrIX_47298	Schwartz 2014	No	None
YIL133C	RPL16A	56	chrIX	99072	-	chrIX_99072	Schwartz 2014	No	None
YIL133C	RPL16A	43	chrIX	99085	-	chrIX_99085	Schwartz 2014	No	None
YER056C	FCY2	1308	chrV	266807	-	chrV_266807	Schwartz 2014	No	None
YER056C	FCY2	655	chrV	267460	-	chrV_267460	Schwartz 2014	No	None
YER056C	FCY2	425	chrV	267690	-	chrV_267690	Schwartz 2014	No	None
YFL045C	SEC53	638	chrVI	43756	-	chrVI_43756	Schwartz 2014	No	None
YGR284C	ERV29	149	chrVII	1061443	-	chrVII_1061443	Schwartz 2014	No	None
YGL026C	TRP5	1048	chrVII	447489	-	chrVII_447489	Schwartz 2014	No	None
YHR027C	RPN1	2843	chrVIII	161870	-	chrVIII_161870	Schwartz 2014	No	None
YHR054C	YHR054C	153	chrVIII	214098	-	chrVIII_214098	Schwartz 2014	No	None
YHR064C	SSZ1	1436	chrVIII	225707	-	chrVIII_225707	Schwartz 2014	No	None
YHR082C	KSP1	2184	chrVIII	269366	-	chrVIII_269366	Schwartz 2014	No	None
YHR188C	GPI16	1614	chrVIII	482225	-	chrVIII_482225	Schwartz 2014	No	None
YHR188C	GPI16	482	chrVIII	483357	-	chrVIII_483357	Schwartz 2014	No	None
YJL136C	RPS21B	33	chrX	156782	-	chrX_156782	Schwartz 2014	No	None
YJL121C	RPE1	447	chrX	190645	-	chrX_190645	Schwartz 2014	No	None
YJL066C	MPM1	472	chrX	314402	-	chrX_314402	Schwartz 2014	No	None
YJR065C	ARP3	693	chrX	558467	-	chrX_558467	Schwartz 2014	No	None
YKR065C	PAM17	319	chrXI	565575	-	chrXI_565575	Schwartz 2014	No	None
YLL019C	KNS1	940	chrXII	106961	-	chrXII_106961	Schwartz 2014	No	None
YLR028C	ADE16	217	chrXII	201100	-	chrXII_201100	Schwartz 2014	No	None
YLR058C	SHM2	402	chrXII	259001	-	chrXII_259001	Schwartz 2014	No	None
YLL050C	COF1	16	chrXII	40221	-	chrXII_40221	Schwartz 2014	No	None
YLR153C	ACS2	1319	chrXII	446258	-	chrXII_446258	Schwartz 2014	No	None
YLR312C	QNQ1	625	chrXII	758210	-	chrXII_758210	Schwartz 2014	No	None
YLR378C	SEC61	1139	chrXII	876041	-	chrXII_876041	Schwartz 2014	No	None
YML128C	MSC1	31	chrXIII	16647	-	chrXIII_16647	Schwartz 2014	No	None
YML026C	RPS18B	49	chrXIII	223380	-	chrXIII_223380	Schwartz 2014	No	None
YMR015C	ERG5	1189	chrXIII	301298	-	chrXIII_301298	Schwartz 2014	No	None
YMR045C	YMR045C	3393	chrXIII	359235	-	chrXIII_359235	Schwartz 2014	No	None
YMR311C	GLC8	246	chrXIII	897359	-	chrXIII_897359	Schwartz 2014	No	None
YNL270C	ALP1	1318	chrXIV	136345	-	chrXIV_136345	Schwartz 2014	No	None
YNL255C	GIS2	353	chrXIV	167439	-	chrXIV_167439	Schwartz 2014	No	None
YNL241C	ZWF1	1174	chrXIV	196771	-	chrXIV_196771	Schwartz 2014	No	None
YNL098C	RAS2	609	chrXIV	439963	-	chrXIV_439963	Schwartz 2014	No	None
YNL007C	SIS1	500	chrXIV	619067	-	chrXIV_619067	Schwartz 2014	No	None
YNR016C	ACC1	5638	chrXIV	655738	-	chrXIV_655738	Schwartz 2014	No	None
YNR035C	ARC35	906	chrXIV	693143	-	chrXIV_693143	Schwartz 2014	No	None
YOL040C	RPS15	199	chrXV	253380	-	chrXV_253380	Schwartz 2014	No	None
YOR312C	RPL20B	89	chrXV	900681	-	chrXV_900681	Schwartz 2014	No	None
YPL090C	RPS6A	17	chrXVI	377986	-	chrXVI_377986	Schwartz 2014	No	None
YPR004C	AIM45	752	chrXVI	564291	-	chrXVI_564291	Schwartz 2014	No	None
YPR015C	YPR015C	592	chrXVI	590436	-	chrXVI_590436	Schwartz 2014	No	None
YPR016C	TIF6	595	chrXVI	592476	-	chrXVI_592476	Schwartz 2014	No	None
YPR016C	TIF6	163	chrXVI	592908	-	chrXVI_592908	Schwartz 2014	No	None
YPR102C	RPL11A	90	chrXVI	731660	-	chrXVI_731660	Schwartz 2014	No	None
YDL083C	RPS16B	179	chrIV	307180	-	chrIV_307180	Schwartz 2014	Yes	Cbf5
YCL043C	PDI1	641	chrIII	49581	-	chrIII_49581	Carlile 2014,Schwartz 2014	Yes	Pus7
YDR322C-A	TIM11	176	chrIV	1112118	-	chrIV_1112118	Carlile 2014,Schwartz 2014	Yes	Pus7
YLR354C	TAL1	498	chrXII	836860	-	chrXII_836860	Carlile 2014,Schwartz 2014	Yes	Pus7
YDR233C	RTN1	57	chrIV	930301	-	chrIV_930301	Carlile 2014,Schwartz 2014	Yes	None
YHR141C	RPL42B	36	chrVIII	382275	-	chrVIII_382275	Carlile 2014,Schwartz 2014	Yes	None
YLR028C	ADE16	971	chrXII	200345	-	chrXII_200345	Carlile 2014,Schwartz 2014	Yes	None
YOL016C	CMK2	41	chrXV	296080	-	chrXV_296080	Carlile 2014,Schwartz 2014	Yes	None
YBL045C	COR1	114	chrII	135404	-	chrII_135404	Schwartz 2014	Yes	None
YBL040C	ERD2	228	chrII	142545	-	chrII_142545	Schwartz 2014	Yes	None
YBR036C	CSG2	840	chrII	309475	-	chrII_309475	Schwartz 2014	Yes	None
YBR127C	VMA2	1080	chrII	491744	-	chrII_491744	Schwartz 2014	Yes	None
YBR127C	VMA2	565	chrII	492259	-	chrII_492259	Schwartz 2014	Yes	None
YBR127C	VMA2	402	chrII	492422	-	chrII_492422	Schwartz 2014	Yes	None
YBR164C	ARL1	441	chrII	567987	-	chrII_567987	Schwartz 2014	Yes	None
YBR230C	OM14	262	chrII	679693	-	chrII_679693	Schwartz 2014	Yes	None
YCR011C	ADP1	2130	chrIII	134745	-	chrIII_134745	Schwartz 2014	Yes	None
YCR031C	RPS14A	214	chrIII	177701	-	chrIII_177701	Schwartz 2014	Yes	None
YCL050C	APA1	529	chrIII	38274	-	chrIII_38274	Schwartz 2014	Yes	None
YCL050C	APA1	291	chrIII	38512	-	chrIII_38512	Schwartz 2014	Yes	None
YCL047C	POF1	477	chrIII	43962	-	chrIII_43962	Schwartz 2014	Yes	None
YCL043C	PDI1	1228	chrIII	48995	-	chrIII_48995	Schwartz 2014	Yes	None
YDR304C	CPR5	555	chrIV	1072004	-	chrIV_1072004	Schwartz 2014	Yes	None
YDR342C	HXT7	1476	chrIV	1154454	-	chrIV_1154454	Schwartz 2014	Yes	None
YDR342C	HXT7	900	chrIV	1155030	-	chrIV_1155030	Schwartz 2014	Yes	None
YDR345C	HXT3	1197	chrIV	1163465	-	chrIV_1163465	Schwartz 2014	Yes	None
YDR487C	RIB3	469	chrIV	1428513	-	chrIV_1428513	Schwartz 2014	Yes	None
YDR497C	ITR1	475	chrIV	1444994	-	chrIV_1444994	Schwartz 2014	Yes	None
YDR500C	RPL37B	58	chrIV	1450408	-	chrIV_1450408	Schwartz 2014	Yes	None
YDR516C	EMI2	281	chrIV	1476197	-	chrIV_1476197	Schwartz 2014	Yes	None
YDR516C	EMI2	156	chrIV	1476322	-	chrIV_1476322	Schwartz 2014	Yes	None
YDL100C	GET3	856	chrIV	282322	-	chrIV_282322	Schwartz 2014	Yes	None
YDR071C	PAA1	427	chrIV	588977	-	chrIV_588977	Schwartz 2014	Yes	None
YDR086C	SSS1	118	chrIV	617054	-	chrIV_617054	Schwartz 2014	Yes	None
YDR086C	SSS1	78	chrIV	617094	-	chrIV_617094	Schwartz 2014	Yes	None
YDR098C-B	YDR098C-B	5174	chrIV	645953	-	chrIV_645953	Schwartz 2014	Yes	None
